ID,ecotype,species,lat,long,depth,sal_bottom,temp_bottom,sal_surface,temp_surface,Geothermal,current_velocity
WAMZ88579,shelf,vic,-70.847222,-10.59,284,34.56538,-0.19028,34.17172,-1.45025,47.46992,0.02649
WAMZ88583,shelf,vic,-70.858333,-10.593056,250,34.56538,-0.19028,34.17172,-1.45025,47.46992,NA
WAMZ88584,shelf,vic,-70.858333,-10.593056,250,34.56538,-0.19028,34.17172,-1.45025,47.46992,NA
WAMZ88585,shelf,vic,-74.665556,-33.733056,591.7,34.70475,-0.80527,34.17634,-1.71035,70.41557,0.03763
WAMZ88586,shelf,vic,-74.665556,-33.733056,591.7,34.70475,-0.80527,34.17634,-1.71035,70.41557,0.03763
WAMZ88587,shelf,vic,-74.665556,-33.733056,591.7,34.70475,-0.80527,34.17634,-1.71035,70.41557,0.03763
WAMZ88588,shelf,vic,-74.665556,-33.733056,591.7,34.70475,-0.80527,34.17634,-1.71035,70.41557,0.03763
WAMZ88590,deep,vic,-77.101333,-36.546,1101,34.70396,-1.13838,34.22603,-1.60882,62.41496,0.02138
WAMZ88591,deep,vic,-74.540556,-28.530556,1749.5,34.66836,0.0212,34.07518,-1.66973,62.9931,0.03081
WAMZ88592,deep,vic,-74.540556,-28.530556,1749.5,34.66836,0.0212,34.07518,-1.66973,62.9931,0.03081
WAMZ88593,deep,vic,-74.540556,-28.530556,1749.5,34.66836,0.0212,34.07518,-1.66973,62.9931,0.03081
WAMZ88594,deep,vic,-74.540556,-28.530556,1749.5,34.66836,0.0212,34.07518,-1.66973,62.9931,0.03081
WAMZ88595,shelf,vic,-75.512222,-27.487222,281.5,34.65596,-1.65529,34.06934,-1.59219,62.27524,0.03562
WAMZ88596,shelf,vic,-75.512222,-27.487222,281.5,34.65596,-1.65529,34.06934,-1.59219,62.27524,0.03562
WAMZ88597,shelf,vic,-77.611333,-38.938833,591.7,34.69587,-1.06558,34.24104,-1.54511,61.01331,NA
WAMZ88598,shelf,vic,-77.611333,-38.938833,591.7,34.69587,-1.06558,34.24104,-1.54511,61.01331,NA
WAMZ88599,shelf,vic,-77.611333,-38.938833,591.7,34.69587,-1.06558,34.24104,-1.54511,61.01331,NA
